facility,community_id,community_size
IND673027AAB,0,43
IND679531AAA,0,43
IND686028AAB,0,43
IND683572AAA,0,43
IND670643AAA,0,43
IND673639AAA,0,43
IND690548AAA,0,43
IND680712AAA,0,43
IND000000AFG,0,43
IND673632AAA,0,43
IND000000ADM,0,43
IND679303AAA,0,43
IND68004AAA,0,43
IND686141AAA,0,43
IND676306AAA,0,43
IND678583AAA,0,43
IND676509AAA,0,43
IND673104AAA,0,43
IND678683AAA,0,43
IND689650AAA,0,43
IND686540AAA,0,43
IND683511AAA,0,43
IND680104AAA,0,43
IND689101AAA,0,43
IND679329AAA,0,43
IND683565AAA,0,43
IND680307AAA,0,43
IND690537AAA,0,43
IND686507AAA,0,43
IND680012AAA,0,43
IND679576AAA,0,43
IND000000AFR,0,43
IND689503AAB,0,43
IND686632AAA,0,43
IND680587AAA,0,43
IND686513AAA,0,43
IND673506AAA,0,43
IND688524AAA,0,43
IND688009AAA,0,43
IND679322AAA,0,43
IND000000ABD,0,43
IND000000ABA,0,43
IND673305AAA,0,43
IND285001AAD,1,122
IND207001AAA,1,122
IND121004AAC,1,122
IND110087AAA,1,122
IND110046AAA,1,122
IND110005AAA,1,122
IND201301AAM,1,122
IND209101AAA,1,122
IND282005AAA,1,122
IND203396AAB,1,122
IND000000ACB,1,122
IND282001AAC,1,122
IND201301AAL,1,122
IND283122AAB,1,122
IND121004AAB,1,122
IND203135AAA,1,122
IND122503AAA,1,122
IND202001AAC,1,122
IND110020AAB,1,122
IND210431AAA,1,122
IND242307AAB,1,122
IND201007AAA,1,122
IND283203AAA,1,122
IND127021AAA,1,122
IND207247AAB,1,122
IND285205AAB,1,122
IND110083AAA,1,122
IND207123AAA,1,122
IND203001AAA,1,122
IND205001AAB,1,122
IND110043AAA,1,122
IND282001AAF,1,122
IND242221AAA,1,122
IND000000AEL,1,122
IND110014AAA,1,122
IND110085AAA,1,122
IND282002AAD,1,122
IND110085AAB,1,122
IND209625AAA,1,122
IND281121AAB,1,122
IND203205AAA,1,122
IND204215AAA,1,122
IND122015AAC,1,122
IND201301AAD,1,122
IND209206AAB,1,122
IND122004AAA,1,122
IND321022AAA,1,122
IND110095AAB,1,122
IND110078AAA,1,122
IND121102AAA,1,122
IND110064AAA,1,122
IND811399AAA,1,122
IND123001AAA,1,122
IND124141AAA,1,122
IND203390AAA,1,122
IND202001AAB,1,122
IND205135AAA,1,122
IND121002AAB,1,122
IND209111AAA,1,122
IND210501AAB,1,122
IND208019AAA,1,122
IND245101AAA,1,122
IND328001AAA,1,122
IND201001AAA,1,122
IND242001AAA,1,122
IND562132AAC,1,122
IND110052AAA,1,122
IND301705AAA,1,122
IND121002AAA,1,122
IND210427AAA,1,122
IND210301AAA,1,122
IND207302AAA,1,122
IND201001AAC,1,122
IND208017AAA,1,122
IND206122AAA,1,122
IND208006AAA,1,122
IND281004AAA,1,122
IND122413AAE,1,122
IND245304AAA,1,122
IND122001AAD,1,122
IND110093AAA,1,122
IND208012AAA,1,122
IND209721AAB,1,122
IND110024AAA,1,122
IND209304AAA,1,122
IND122002AAD,1,122
IND212601AAA,1,122
IND302022AAD,1,122
IND127201AAA,1,122
IND201306AAA,1,122
IND122001AAA,1,122
IND110039AAA,1,122
IND110044AAB,1,122
IND110035AAC,1,122
IND209801AAA,1,122
IND241124AAB,1,122
IND122050AAA,1,122
IND110043AAC,1,122
IND206001AAA,1,122
IND121001AAA,1,122
IND201304AAA,1,122
IND203131AAA,1,122
IND123401AAB,1,122
IND281401AAA,1,122
IND210001AAA,1,122
IND201301AAF,1,122
IND123106AAB,1,122
IND301019AAA,1,122
IND110030AAD,1,122
IND124103AAA,1,122
IND121004AAA,1,122
IND201307AAA,1,122
IND110037AAM,1,122
IND110092AAC,1,122
IND110077AAA,1,122
IND122101AAC,1,122
IND201007AAB,1,122
IND201005AAA,1,122
IND110037AAK,1,122
IND226004AAC,1,122
IND204101AAA,1,122
IND282001AAA,1,122
