source_center,destination_center,median_factor,mean_factor,corridor_volume,median_actual_time,median_osrm_time,median_distance
IND000000AAL,IND411033AAA,2.4166666666666665,2.678376844329416,37,52.0,25.0,23.5367
IND000000AAQ,IND700028AAB,6.071428571428571,6.2857142857142865,4,79.5,12.5,12.4923
IND000000AAS,IND783370AAC,1.7112794612794613,1.924721263706771,18,47.0,26.0,36.83765
IND000000AAZ,IND444203AAA,4.365853658536586,4.5316734417344176,3,179.0,41.0,57.1952
IND000000AAZ,IND444303AAA,4.0,3.347826086956522,3,160.0,40.0,53.7322
IND000000ABA,IND683565AAA,1.0952380952380953,1.6932160282362712,13,22.0,21.0,18.2372
IND000000ABD,IND562132AAA,1.6409012020312401,1.676035593948697,144,303.5,188.5,187.47719999999998
IND000000ABG,IND501359AAF,2.3333333333333335,4.566780782570256,41,45.0,21.0,24.5723
IND000000ACA,IND140406AAA,1.699248120300752,1.718668292352503,6,58.0,35.0,48.63825
IND000000ACA,IND142001AAB,1.519091847265222,1.5718970327908521,36,69.0,42.0,57.64245
IND000000ACA,IND142401AAA,1.6842105263157894,2.0979710391440496,24,33.0,18.0,25.51525
IND000000ACA,IND143001AAA,1.619718309859155,1.63746034853737,7,115.0,71.0,97.8931
IND000000ACA,IND144001AAB,1.5769230769230769,1.6150444116889209,51,58.0,36.0,51.3987
IND000000ACA,IND144514AAA,1.2487179487179487,1.6108792740513171,24,55.0,47.0,42.35275
IND000000ACA,IND147301AAA,1.6851851851851851,2.010324049539736,6,44.0,22.0,30.17595
IND000000ACA,IND152026AAA,1.514018691588785,1.455642965751387,7,100.0,75.0,96.9861
IND000000ACA,IND160002AAC,1.9361702127659575,2.026949208130753,303,81.0,47.0,66.8341
IND000000ACB,IND000000AEL,1.6229096989966556,2.1438144253233573,138,70.0,44.5,42.11945
IND000000ACB,IND110024AAA,2.098148148148148,2.07083624433961,36,92.0,46.0,42.398399999999995
IND000000ACB,IND110030AAD,1.6734693877551021,1.833324069635993,135,60.0,36.0,35.4777
IND000000ACB,IND110037AAK,1.5384615384615385,1.858434918625636,158,42.0,30.0,30.4872
IND000000ACB,IND110043AAA,1.7142857142857142,2.026222842061151,67,50.0,30.0,30.2421
IND000000ACB,IND110043AAC,1.8,1.898353518656908,45,75.0,41.0,38.1626
IND000000ACB,IND110052AAA,1.3333333333333333,1.3883281862399879,14,64.0,48.5,44.925
IND000000ACB,IND110064AAA,1.4555335968379448,1.6097028453848214,286,59.0,44.0,41.863550000000004
IND000000ACB,IND110085AAB,1.5454545454545454,1.627414098801864,165,69.0,46.0,43.6859
IND000000ACB,IND110092AAC,1.627906976744186,1.5920330450697655,35,76.0,49.0,43.9784
IND000000ACB,IND110095AAB,2.0,2.1825319488467074,266,72.0,50.0,43.67835
IND000000ACB,IND121002AAB,1.6,1.6934184877154788,341,71.0,45.0,49.7342
IND000000ACB,IND121004AAB,1.5806451612903225,1.647347776908605,185,66.0,43.0,52.5665
IND000000ACB,IND122001AAA,1.3944444444444444,1.5553110564839039,224,38.0,29.0,30.20115
IND000000ACB,IND122015AAC,1.95,1.9699516170104405,8,47.0,26.0,26.796300000000002
IND000000ACB,IND124103AAA,1.9565217391304348,2.055118404731814,29,76.0,46.0,48.6803
IND000000ACB,IND124112AAA,1.9634146341463414,1.968789566320627,35,119.0,58.0,82.0536
IND000000ACB,IND125001AAA,2.1875,2.168091311720241,105,172.0,85.0,106.3852
IND000000ACB,IND125005AAA,1.7626641651031894,1.7155438932744111,28,152.0,86.0,106.81455
IND000000ACB,IND125033AAA,2.264397689768977,2.1790578628667867,12,143.0,75.0,97.07735
IND000000ACB,IND127021AAA,2.0081092616303886,1.9511229415203186,10,144.0,71.0,98.06105
IND000000ACB,IND131028AAB,1.75,1.8916967480076223,741,108.0,57.0,58.6576
IND000000ACB,IND160002AAC,1.8590322580645162,2.015222235592946,656,215.5,110.5,155.4062
IND000000ACB,IND201001AAC,1.5454545454545454,1.5517369481014744,36,68.0,45.0,69.1457
IND000000ACB,IND201007AAA,1.5625,1.5302866315509311,63,82.0,53.0,47.1996
IND000000ACB,IND201301AAF,1.4010741510741511,1.4143755435177856,62,73.0,55.0,50.94585
IND000000ACB,IND201301AAM,1.9852941176470589,2.1192614418713385,304,106.0,60.0,69.36215
IND000000ACB,IND209304AAA,2.303448275862069,2.2591686604562033,269,411.0,171.0,234.2828
IND000000ACB,IND282002AAD,1.9532710280373833,2.0877761365136274,72,159.0,78.0,110.88215
IND000000ACB,IND301001AAB,1.0227272727272727,1.1918232030471858,24,77.5,86.5,98.43605
IND000000ACB,IND301705AAA,3.588235294117647,3.1127450980392157,3,122.0,34.0,46.5555
IND000000ACB,IND302014AAA,2.029827662395051,2.060929220857082,270,191.0,90.0,126.01400000000001
IND000000ACB,IND302022AAD,1.7249096748293857,1.7691325074600803,180,156.0,89.0,125.62165
IND000000ACB,IND328001AAA,1.7418941784424018,1.6533704913357252,50,212.0,121.0,147.43565
IND000000ACB,IND382430AAB,1.8881278538812785,1.957146841592176,557,673.0,357.0,498.1136
IND000000ACB,IND390022AAA,1.7955271565495208,1.7260868832159195,385,691.0,376.0,482.8771
IND000000ACB,IND411033AAA,1.7577352472089314,1.7924425285032701,1120,926.0,567.0,701.0508500000001
IND000000ACB,IND421302AAG,1.8706467661691542,1.9395230983536127,1617,947.0,514.0,658.8694
IND000000ACB,IND462022AAA,1.7523526385862986,1.7270334608403388,458,520.5,327.0,388.5553
IND000000ACB,IND474003AAA,2.1970443349753697,2.671056059150563,13,351.0,158.0,180.3837
IND000000ACB,IND501359AAE,1.8243243243243243,1.8781611089073493,1639,1085.0,584.0,791.1255
IND000000ACB,IND521225AAB,1.9303796518607443,1.9294408030663222,686,1340.5,678.0,923.165
IND000000ACB,IND562132AAA,1.6844001999514844,1.697871888251501,4976,1284.0,786.0,1021.8620000000001
IND000000ACB,IND600056AAB,1.7717842323651452,1.7932831339816389,1015,1415.0,831.0,1139.1948
IND000000ACB,IND712311AAA,2.026579314094646,2.231516134606237,2862,1122.0,513.0,727.4005500000001
IND000000ACB,IND751002AAB,1.930795847750865,1.912925528012439,853,1263.0,642.0,886.4665
IND000000ACB,IND821115AAB,2.1115537848605577,2.1774496676271857,665,689.0,320.0,449.7383
IND000000ACB,IND834002AAB,1.9363636363636363,2.0308671573381964,729,879.0,453.0,640.3701
IND000000ACB,IND842001AAA,1.9097730209562336,1.9088578339387372,720,721.0,383.5,543.8326
IND000000ACK,IND501359AAF,2.486842105263158,2.73448302660039,94,47.5,20.0,22.828049999999998
IND000000ACN,IND501359AAF,2.2287581699346406,3.1055892258219076,32,32.5,17.0,20.3981
IND000000ACT,IND000000ACB,1.5205254515599342,1.6870705993673494,314,48.0,30.0,32.557100000000005
IND000000ACT,IND131028AAB,1.3333333333333333,1.4237840958602743,175,52.0,39.0,31.196900000000003
IND000000ACT,IND160002AAC,1.7976190476190477,1.802076992554412,210,156.0,93.0,131.27895
IND000000ADM,IND683511AAA,1.4545454545454546,2.011655011655012,3,32.0,22.0,21.5717
IND000000ADV,IND600044AAC,1.6666666666666667,1.7507659205350123,72,41.5,27.0,29.841749999999998
IND000000AEL,IND000000ACB,1.7192118226600983,1.9860544207329298,102,56.0,38.0,40.4181
IND000000AEM,IND110037AAB,2.076923076923077,2.801445580067703,51,64.0,33.0,33.8198
IND000000AEM,IND110064AAB,1.9645989974937343,1.9907918767133246,66,75.5,42.0,38.6666
IND000000AET,IND000000AAS,2.4680272108843537,2.5788989554505233,24,106.0,45.0,63.6548
IND000000AFF,IND734203AAA,4.842105263157895,4.5964912280701755,3,92.0,19.0,27.8663
IND000000AFG,IND673027AAB,1.7648953301127213,1.7648953301127213,2,65.0,36.5,33.8408
IND000000AFG,IND673632AAA,2.176245210727969,2.02140882235343,6,68.5,38.0,34.784800000000004
IND000000AFJ,IND695121AAA,1.0769230769230769,1.0953756613756613,40,22.5,21.5,15.28275
IND000000AFJ,IND695572AAB,2.111111111111111,2.111111111111111,2,44.0,20.5,17.66505
IND000000AFR,IND683511AAA,1.9045454545454545,2.3432687424150456,24,46.0,23.0,21.25085
IND000000AFT,IND400072AAB,2.0,2.0027850877192983,20,26.0,13.0,15.033
IND000000AFT,IND400701AAA,2.8903508771929824,2.8903508771929824,2,45.0,15.5,20.27765
IND000000AFT,IND400706AAA,5.222222222222222,4.0814814814814815,3,94.0,18.0,18.1351
IND000000AFT,IND410206AAA,2.5,3.744871794871795,5,35.0,13.0,17.4252
IND000000AFT,IND410206AAB,3.0588235294117645,3.0588235294117645,2,46.0,15.0,17.80965
IND000000AFT,IND410209AAA,2.1666666666666665,2.352315674211055,80,29.0,14.0,16.60015
IND000000AFT,IND410210AAA,2.875,3.14140678619626,25,46.0,15.0,17.2955
IND000000AFT,IND421302AAG,2.769230769230769,3.560716744267229,29,47.0,20.0,21.940900000000003
IND110014AAA,IND110024AAA,3.2857142857142856,3.3549783549783547,20,31.5,11.0,11.3066
IND110020AAB,IND110037AAM,2.739130434782609,6.5968963579240265,11,63.0,23.0,26.1354
IND110024AAA,IND110014AAA,2.0,2.242063492063492,13,14.0,7.0,9.7226
IND110030AAD,IND000000ACB,1.6631205673758864,2.292466366215802,34,56.0,31.5,33.53915
IND110035AAC,IND110037AAM,1.619047619047619,1.7552422723475356,6,28.5,16.5,18.5484
IND110037AAK,IND000000ACB,1.8421052631578947,2.735901884314471,177,54.0,30.0,32.7903
IND110037AAM,IND000000ACB,1.586993970714901,1.611277244266898,24,56.5,35.5,38.0931
IND110037AAM,IND110020AAB,3.217391304347826,3.601094821813885,26,64.0,23.5,25.64105
IND110037AAM,IND110024AAA,2.6243478260869564,2.5932750048752466,36,54.5,23.0,21.3122
IND110037AAM,IND110035AAC,2.0513157894736844,2.5114829454537486,72,31.5,18.0,16.2951
IND110037AAM,IND110064AAA,2.1875,4.325,3,35.0,16.0,12.964
IND110037AAM,IND110085AAB,1.8660714285714286,2.2294218045969676,46,39.5,22.5,20.71995
IND110037AAM,IND110092AAC,2.193548387096774,1.9053218470309583,3,61.0,27.0,24.551
IND110037AAM,IND121004AAB,1.9807692307692308,2.252897583824843,138,38.0,22.0,23.78835
IND110037AAM,IND125001AAA,1.734375,2.102814816127208,7,149.0,86.0,106.7386
IND110037AAM,IND131028AAB,2.051282051282051,1.7912411301205868,5,80.0,39.0,30.9869
IND110037AAM,IND201001AAC,1.7755102040816326,1.7628260930054676,29,57.0,36.0,32.671
IND110037AAM,IND201007AAA,1.964705882352941,1.9354073176970938,18,57.5,29.5,24.7058
IND110037AAM,IND201301AAD,2.4814814814814814,2.8540388129277017,9,67.0,26.0,24.442
IND110037AAM,IND201301AAF,1.962962962962963,1.9169965220811427,15,53.0,27.0,24.858400000000003
IND110037AAM,IND202001AAB,1.6680790960451977,1.7461168807729315,152,132.0,92.5,103.49635
IND110037AAM,IND209304AAA,1.9080459770114941,1.9440972778875998,449,311.0,171.0,243.4939
IND110037AAM,IND226004AAC,1.8646459304841114,1.9756250558411448,20,356.0,200.5,270.72130000000004
IND110037AAM,IND250002AAC,1.4419642857142856,5.021639825856777,8,101.0,75.5,72.9958
IND110037AAM,IND282001AAA,1.9384941675503713,1.9956090815963614,32,145.0,77.5,110.3811
IND110037AAM,IND282001AAC,2.0399234345091606,2.0839340206140196,8,151.0,78.0,110.9551
IND110037AAM,IND282002AAD,1.9362701252236136,1.941161873048929,8,147.5,77.5,110.45429999999999
IND110037AAM,IND421302AAG,1.9971014492753623,2.1874165201617295,815,1048.0,537.0,692.2426999999999
IND110037AAM,IND781018AAB,2.84535054236484,2.848636180016232,68,2050.5,697.5,963.1464000000001
IND110037AAM,IND811399AAA,1.534313725490196,2.0039135072381624,22,51.5,35.5,31.8683
IND110039AAA,IND110085AAB,3.5589743589743588,3.8878940503940504,6,51.0,14.0,11.9457
IND110043AAA,IND000000ACB,3.0,3.50748158312468,19,79.0,31.0,33.7407
IND110043AAA,IND110078AAA,1.4472222222222222,1.6574914301169823,66,27.0,20.0,17.572200000000002
IND110043AAC,IND000000ACB,1.6206896551724137,1.6601483839961553,5,54.0,35.0,38.0385
IND110044AAB,IND000000ACB,1.5238095238095237,1.6471306121002312,453,54.0,38.0,40.2146
IND110044AAB,IND110030AAD,1.4666666666666666,1.560307794057794,60,20.0,14.0,12.404250000000001
IND110044AAB,IND110037AAM,2.0476190476190474,1.933571921522232,7,40.0,21.0,23.7622
IND110044AAB,IND131028AAB,1.2732780612244898,1.3769161154909,200,51.0,38.0,30.8626
IND110044AAB,IND201007AAA,2.772727272727273,3.062283518330077,22,53.0,20.5,18.1252
IND110044AAB,IND201301AAF,1.5555555555555556,2.03885582010582,24,21.5,14.0,12.5921
IND110052AAA,IND000000ACB,1.6481481481481481,1.8160696630964923,70,65.5,41.0,43.3808
IND110064AAA,IND000000ACB,1.3414634146341464,4.14556024205869,231,46.0,32.0,34.4934
IND110064AAA,IND110005AAA,3.0,2.7692307692307687,3,33.0,11.0,10.6435
IND110064AAA,IND110046AAA,3.0,3.0,1,45.0,15.0,13.586200000000002
IND110077AAA,IND110043AAA,1.3333333333333333,1.3333333333333333,1,20.0,15.0,11.7786
IND110078AAA,IND110043AAA,2.3380681818181817,2.5054209598098893,28,42.0,18.5,15.741499999999998
IND110083AAA,IND110085AAB,2.042016806722689,2.042016806722689,2,33.0,15.5,14.13345
IND110085AAB,IND000000ACB,2.85,3.47115865747071,49,120.0,41.0,42.9508
IND110085AAB,IND110039AAA,2.076923076923077,1.7724686028257455,7,26.0,16.0,13.2581
IND110085AAB,IND110083AAA,4.0,3.6533333333333333,5,56.0,15.0,11.9201
IND110085AAB,IND110085AAA,2.076923076923077,2.076923076923077,1,27.0,13.0,11.4111
IND110085AAB,IND110087AAA,2.0,2.184615384615385,5,26.0,13.0,11.7553
IND110092AAC,IND000000ACB,1.6,2.054564516504948,41,70.0,40.0,42.0216
IND110092AAC,IND110093AAA,3.25,3.25,2,52.0,16.0,12.8317
IND110093AAA,IND110092AAC,3.2222222222222223,3.2222222222222223,2,58.0,18.0,15.547
IND110095AAB,IND000000ACB,1.4666666666666666,1.4867811630746899,7,58.0,41.0,43.2052
IND121001AAA,IND121004AAB,1.9090909090909092,2.4921102706816995,49,20.0,11.0,11.9549
IND121002AAA,IND121004AAB,19.083333333333332,19.083333333333332,1,229.0,12.0,11.2338
IND121002AAB,IND000000ACB,1.75,2.184614470758966,163,82.0,37.0,42.1004
IND121004AAA,IND121004AAB,2.2225274725274726,2.725527736152736,20,26.5,12.0,14.6646
IND121004AAB,IND000000ACB,1.8,1.8516817799622336,189,75.0,46.0,48.224
IND121004AAB,IND110037AAM,2.403985507246377,2.5859300270071017,110,47.5,22.0,24.8494
IND121004AAB,IND121001AAA,1.7,1.7897434972434973,45,19.0,10.0,11.275
IND121004AAB,IND121002AAA,2.909090909090909,2.909090909090909,2,32.0,11.0,10.3547
IND121004AAB,IND121004AAA,1.75,1.9147225057551145,46,18.0,10.0,13.38505
IND121004AAB,IND121004AAC,2.1394230769230766,2.238894824311491,18,20.0,11.0,14.40955
IND121004AAB,IND121102AAA,2.0,2.130714946594652,205,42.0,21.0,30.1891
IND121004AAC,IND121004AAB,2.708333333333333,4.539649321266968,12,32.5,11.0,12.561399999999999
IND121102AAA,IND121004AAB,3.9155172413793102,4.229218223272483,52,92.0,21.0,29.28425
IND122001AAA,IND000000ACB,1.6470588235294117,1.8317374373392596,80,42.0,31.0,33.0097
IND122001AAA,IND110037AAM,3.8666666666666667,3.8666666666666667,1,58.0,15.0,13.2356
IND122001AAA,IND122001AAD,3.176923076923077,3.1382478632478636,6,37.0,12.5,12.66385
IND122001AAA,IND122050AAA,4.892857142857143,5.038998357963876,3,137.0,28.0,24.9983
IND122001AAA,IND122101AAC,1.3028846153846154,1.3028846153846154,2,19.0,14.5,12.068950000000001
IND122001AAD,IND122050AAA,1.8333333333333333,2.192555046025797,19,33.0,19.0,15.3156
IND122001AAJ,IND507123AAA,0.747093023255814,0.7482965047648077,26,38.5,51.0,32.6555
IND122002AAD,IND122503AAA,2.1739130434782608,2.2658755943849114,7,37.0,14.0,20.3352
IND122004AAA,IND000000ACB,1.6176470588235294,1.62397504456328,4,46.5,28.0,30.122749999999996
IND122004AAA,IND122413AAE,1.5757575757575757,1.742319508577879,171,44.0,30.0,31.3178
IND122503AAA,IND122001AAA,3.949074074074074,3.7063827376327376,8,82.0,23.0,25.944450000000003
IND123001AAA,IND123401AAB,1.6714285714285715,1.7354429431804996,26,58.5,29.5,34.2347
IND123401AAB,IND000000ACB,2.0,2.211408012888089,9,104.0,51.0,53.6084
IND123401AAB,IND123106AAB,1.97,1.9849273255061333,30,83.0,46.0,49.028800000000004
IND124001AAB,IND126102AAA,2.3014705882352944,2.41783861183656,12,71.5,34.0,48.7254
IND124103AAA,IND127021AAA,1.8846153846153846,1.9661180667292573,27,78.0,46.0,53.1767
IND124112AAA,IND125001AAA,2.8616473616473614,2.8903507403507405,6,95.5,37.0,45.9627
IND124112AAA,IND125005AAA,2.6171171171171173,2.8281694738216476,6,95.5,36.5,45.91985
IND124112AAA,IND125033AAA,1.7823529411764705,1.7793104719201656,8,40.0,23.0,30.1443
