source,destination,same_community,pagerank_difference,betweenness_difference,hub_score_difference,authority_score_difference,embedding_cosine_similarity
IND000000AAL,IND411033AAA,1,0.0057931844564532,0.0432540118304796,0.0151860892991089,0.017323034954526,0.9842209
IND411033AAA,IND000000AAL,1,0.0057931844564532,0.0432540118304796,0.0151860892991089,0.017323034954526,0.9842209
IND411033AAA,IND000000ACB,0,0.005249721632334601,0.17697367444948942,0.0277102469827321,0.015198242062062498,0.43884808
IND411033AAA,IND400072AAB,0,0.004389955921486499,0.038157022242405796,0.009825110653421301,0.0120341706709698,0.7587594
IND411033AAA,IND403726AAA,0,0.0048419906983002995,0.0354556388842237,0.015024662860438001,0.0165946511575907,0.8083198
IND411033AAA,IND410503AAA,1,0.0057931844564532,0.0432540118304796,0.0170056498781516,0.017323034954526,0.95492625
IND411033AAA,IND410505AAB,1,0.0054694186789034,0.042445818243486595,0.015163046165172802,0.0173019094508845,0.96793747
IND411033AAA,IND411014AAA,1,0.005051088235060799,0.041637624656493594,0.015139470213658902,0.0172802954702976,0.86861354
IND411033AAA,IND411021AAA,1,0.0057931844564532,0.0432540118304796,0.0151860892991089,0.017323034954526,0.9857279
IND411033AAA,IND411036AAA,1,0.0057931844564532,0.0432540118304796,0.0151860892991089,0.017323034954526,0.98079264
IND411033AAA,IND413002AAA,1,0.0046739031466078,0.0395351361194325,0.011993211795889401,0.0118587739514617,0.77424705
IND411033AAA,IND413501AAA,1,0.0055380195544814,0.042800522867204795,0.015163046165172802,0.0167633224651675,0.9450796
IND411033AAA,IND414001AAA,1,0.0057931844564532,0.0420389849028558,0.015139197608780502,0.017323034954526,0.9465625
IND411033AAA,IND416012AAA,1,0.0042679604752526,0.032733864309149895,0.0163322071384834,0.013818837576165,0.76075447
IND411033AAA,IND421302AAG,0,1.5724307453700466e-05,0.026371225007767604,0.012047826326063198,0.005207292265224799,0.6289009
IND411033AAA,IND431136AAC,1,0.0046002059433695,0.037611616512529394,0.0150879174440397,0.0172325509773724,0.8337725
IND411033AAA,IND431603AAA,1,0.0050823698773625,0.0384114180216439,0.0172022574490128,0.0172579200724134,0.82295877
IND411033AAA,IND501359AAE,0,0.0026243813261206004,0.0493776490189165,0.0028547355942756987,0.0024479292326349995,0.59537613
IND411033AAA,IND521225AAB,0,0.0036295239905745997,0.031043272246907398,0.0144587100877645,0.011999217049933,0.6719537
