source_center,destination_center,median_factor,mean_factor,corridor_volume,median_actual_time,median_osrm_time,median_distance
IND000000ACB,IND562132AAA,1.6844001999514844,1.697871888251501,4976,1284.0,786.0,1021.8620000000001
IND562132AAA,IND000000ACB,1.7345395751989159,1.7123670406657203,3316,1529.0,855.5,1169.2642
IND000000ACB,IND712311AAA,2.026579314094646,2.231516134606237,2862,1122.0,513.0,727.4005500000001
IND000000ACB,IND501359AAE,1.8243243243243243,1.8781611089073493,1639,1085.0,584.0,791.1255
IND000000ACB,IND421302AAG,1.8706467661691542,1.9395230983536127,1617,947.0,514.0,658.8694
IND421302AAG,IND000000ACB,1.8933030646992055,1.8811242328051105,1269,909.0,467.0,649.9212
IND781018AAB,IND110037AAM,2.4316702819956615,2.5451369222969604,1137,1577.0,663.0,884.6650999999999
IND421302AAG,IND562132AAA,1.7018633540372672,1.736296328196498,1131,593.0,350.0,480.6225
IND000000ACB,IND411033AAA,1.7577352472089314,1.7924425285032701,1120,926.0,567.0,701.0508500000001
IND000000ACB,IND600056AAB,1.7717842323651452,1.7932831339816389,1015,1415.0,831.0,1139.1948
IND562132AAA,IND302014AAA,1.93349450394801,1.913989753827213,978,1458.5,735.0,1007.4567999999999
IND421302AAG,IND110037AAM,2.144144144144144,2.287915062023958,965,1072.0,491.0,671.4204
IND395023AAA,IND562132AAA,1.7323290845886443,1.7448981868660691,935,760.0,437.0,598.7022
IND411033AAA,IND000000ACB,1.6259825254974918,1.5895447182480107,924,857.0,579.5,746.1745000000001
IND854326AAB,IND000000ACB,2.039087947882736,1.9982476697360376,899,1008.0,481.0,631.9973
IND000000ACB,IND751002AAB,1.930795847750865,1.912925528012439,853,1263.0,642.0,886.4665
IND562132AAA,IND751002AAB,1.9902325518012032,1.9606133420749596,818,1024.0,493.0,691.45415
IND110037AAM,IND421302AAG,1.9971014492753623,2.1874165201617295,815,1048.0,537.0,692.2426999999999
IND395023AAA,IND110037AAM,1.8255813953488371,1.790371630121003,773,719.0,402.0,546.5092
IND131028AAB,IND000000ACB,1.4819264069264069,1.641853110658509,760,93.5,63.0,69.7481
