feature,mean_negative_shap
num__osrm_speed,0.1919757910559381
num__betweenness_difference,0.1450910431446197
num__trip_to_cutoff_minutes,0.13941841799727173
cat__route_type_Carting,0.06493420021887025
num__dst_authority_score,0.06006814622501772
num__trip_hour,0.06001011267565119
cat__src_community_id_9,0.04514195961360893
num__authority_score_difference,0.035862469321873265
num__dst_embedding_23,0.03525383323222795
num__source_volume,0.03484836047845292
num__dst_degree_centrality,0.03210891843335907
num__dst_embedding_6,0.030165943298518978
num__corridor_volume,0.028836942724835824
num__dst_in_degree_centrality,0.028712664898099507
num__trip_to_scan_minutes,0.026614112547804096
num__dst_closeness_centrality,0.026502391793911225
num__embedding_cosine_similarity,0.025979846261156563
num__dst_embedding_32,0.025205010725229408
num__osrm_time,0.02518179530405781
num__dst_embedding_22,0.02344873490426345
cat__route_type_FTL,0.0220906596286745
num__trip_month,0.02166502198614653
cat__dst_community_id_9,0.019743015755654257
num__src_hub_score,0.01839044112280143
num__dst_embedding_9,0.017547738616605846
num__src_embedding_28,0.0174562148325436
num__trip_weekday,0.0168103726060604
num__src_embedding_24,0.01624229198894871
num__dst_embedding_4,0.015590478391486997
num__osrm_distance,0.015514807864134958
num__dst_embedding_21,0.015055600729451116
num__dst_embedding_31,0.014944920650176297
num__src_embedding_6,0.014589467526159893
num__src_embedding_22,0.01436701712359993
num__dst_embedding_26,0.01412343205510599
num__src_betweenness_centrality,0.014039120079723648
num__pagerank_difference,0.013895832207675082
num__dst_embedding_10,0.01364407786221843
num__dst_pagerank,0.01344345444732009
num__dst_embedding_29,0.013056302676955322
num__dst_betweenness_centrality,0.012695715175026566
num__src_embedding_7,0.012399099709313856
num__src_embedding_4,0.012100748647530768
num__src_embedding_12,0.0117687919750158
num__src_embedding_26,0.011627245988058667
num__dst_embedding_16,0.011477131275784428
num__src_embedding_13,0.01130430083711783
num__dst_embedding_28,0.011040428976516652
num__src_embedding_5,0.010879882172336739
num__src_embedding_16,0.010751320957105523
num__src_embedding_30,0.01049566535842116
num__dst_embedding_18,0.010111789007586615
num__src_embedding_27,0.010105921638906711
num__dst_embedding_1,0.008887030440950966
num__dst_embedding_30,0.008640034731843334
cat__src_community_id_45,0.008481136001363845
num__dst_embedding_3,0.008340773821403939
num__src_embedding_15,0.008254469488402973
num__dst_embedding_2,0.008006220152314482
num__dst_embedding_13,0.007950745360111488
num__destination_volume,0.007938663168638149
num__dst_community_size,0.00792812319209728
num__dst_embedding_11,0.007687995967751449
num__src_embedding_14,0.007337213606302386
num__dst_embedding_5,0.007224404857167879
num__src_embedding_32,0.007120815474564757
num__dst_embedding_8,0.0066022468820925205
num__src_embedding_19,0.006163857457258651
num__dst_embedding_12,0.006107093715173706
cat__src_community_id_33,0.005888204313057902
num__src_embedding_8,0.005834069520308544
num__src_embedding_10,0.005664629249757245
num__src_embedding_20,0.005655378693355968
num__src_embedding_23,0.00551030297630573
num__src_embedding_3,0.005367574639985125
num__src_pagerank,0.005329922167827444
num__src_embedding_9,0.005272032293981166
num__dst_embedding_14,0.00523323619745779
