source_center,shipments,avg_actual_factor,avg_pred_factor
IND110064AAA,55,3.967136041358578,4.160797795187174
IND401104AAA,34,3.6643096498849097,3.7208117250414046
IND713205AAB,45,3.1880018938796923,3.5739741526008464
IND585307AAB,35,3.423772695407887,3.4448942222459342
IND742401AAA,35,2.530416760839734,3.3068941894003836
IND400072AAD,59,2.8686038846882402,3.190487834629479
IND400072AAB,176,2.9812230176053536,3.07371633400241
IND742101AAC,48,3.1043219674560016,2.980215310756328
IND834002AAB,96,2.881603775728395,2.940886554124979
IND152026AAA,42,2.4458302916590613,2.6724461802289095
IND500010AAB,41,2.56949138851843,2.6567310738226944
IND712310AAE,42,2.4372588141493905,2.626928073265779
IND781018AAB,170,2.3346150155961927,2.6078321326608456
IND811399AAA,72,2.706901354916309,2.5375201574055537
IND742102AAB,41,2.5195003110329504,2.503138347622458
IND845455AAB,39,2.6646324430844346,2.500608111091573
IND395023AAD,30,2.5593830352653884,2.4797852249368675
IND431517AAB,39,2.6933265177592616,2.4340358398044417
IND413401AAA,50,2.229327600494954,2.427129067247969
IND756100AAC,44,2.957485882603505,2.3963974380940076
IND431136AAC,90,2.499589381349698,2.3953025685637495
IND472001AAA,66,2.726246741111862,2.386696976758959
IND342902AAA,30,2.5013534394694394,2.350336758448789
IND273014AAB,43,2.1361563531158474,2.2904643468215764
IND712311AAA,477,2.195399146415406,2.2835526213344157
IND402301AAA,33,2.09379729094659,2.2437401489553928
IND306401AAB,87,2.029868694869966,2.2276212398414725
IND842001AAA,132,2.2031724068118934,2.2181905719290467
IND302014AAB,98,2.1798349767372662,2.213199650455325
IND532001AAB,85,2.5654657599117243,2.2083468458538116
IND503111AAC,34,2.2148704007498465,2.204546946073922
IND751002AAB,296,2.0085206930257646,2.199490957119807
IND125001AAA,32,2.3796004370335444,2.196147500890305
IND516115AAA,48,2.6391787059097593,2.1860235370831993
IND313001AAB,109,2.3220950712568347,2.1859435198797366
IND403702AAA,39,1.932247143174384,2.1779191032754444
IND533106AAA,32,2.010769206027254,2.177918675935987
IND424006AAA,53,2.1645128539189415,2.160754932346373
IND121004AAB,146,2.119493375365823,2.1581193510596384
IND517583AAA,42,2.0794245501662614,2.1452239972821836
IND600032AAB,75,2.286391508617844,2.1352094604508323
IND421302AAG,1643,2.1202493464055774,2.1207469847974614
IND110037AAM,469,2.2530178877001332,2.1184284314759942
IND431203AAA,36,1.9801892357561475,2.1117172438989606
IND423701AAB,41,1.8113682103342987,2.1048455837397055
IND305001AAC,40,1.9901033406450388,2.096991151127587
IND573201AAB,33,2.2527582334407255,2.092962514725569
IND444005AAB,50,1.9848405724702645,2.075703123698497
IND144001AAC,43,2.4346832603086885,2.073986095212497
IND122001AAA,30,1.553109547339087,2.0518485826764317
IND508377AAB,30,2.1674199828230454,2.0261902396687783
IND854326AAB,225,2.04498767371777,2.026072756959953
IND210501AAB,36,1.823108574192787,2.024329980435006
IND411033AAA,678,1.9209382656304728,2.0127046025868536
IND501359AAE,678,1.95401234857461,2.009997417189958
IND826004AAA,73,1.7970600491067672,1.998487775034708
IND641062AAD,70,1.9938131900306277,1.991925417023195
IND577002AAA,32,2.060026528631346,1.981366215245896
IND635802AAB,40,2.047991707918769,1.9665391498552094
IND209304AAA,213,2.079019909571599,1.9565455134757523
IND580028AAA,92,2.152275009263553,1.942461208402774
IND505001AAB,35,1.9134251175981243,1.9336783912685154
IND530012AAA,140,1.8383636949117184,1.9320675314511333
IND416012AAA,67,1.9203950942437056,1.8997345510269856
IND560300AAA,258,1.8979617640453024,1.8964055913231619
IND160002AAC,422,1.8996147273744164,1.8869563287020301
IND000000ACB,4836,1.92505622789169,1.885241088290065
IND302014AAA,159,1.8788481651374123,1.8787689565894392
IND600056AAB,304,2.002394627182865,1.8764070153251589
IND462022AAA,319,1.8976191954841868,1.874184311512009
IND000000ACA,71,1.9683924944317823,1.8695668778190973
IND395023AAA,545,1.911993094319649,1.8681784195505027
IND457226AAA,65,1.8529329252339442,1.8556897591574315
IND382430AAB,315,1.9693858010829448,1.8506935482579487
IND413002AAA,106,1.5657781208232175,1.844640371811243
IND562132AAA,2005,1.817903404351861,1.8266130409141788
IND515004AAA,94,1.71674989325827,1.8240805993129623
IND125005AAA,34,1.6420730943802742,1.808513665190776
IND821115AAB,104,1.794079839560232,1.8000759241318807
IND521225AAB,37,1.797251029382303,1.7996446018503962
IND560043AAC,32,1.7677058073174279,1.7740607658237135
IND403726AAA,80,1.5021443174661948,1.7673056837432874
IND131028AAB,358,1.822267560468148,1.7660280898602214
IND673592AAA,35,1.8208697661833757,1.7595038829015544
IND384205AAA,30,1.4864533052121494,1.7573480711030804
IND263153AAB,42,1.8802486124570839,1.7561301381362653
IND523002AAA,45,1.846801289655955,1.753015179709032
IND585104AAA,64,1.6559406178769207,1.7437053469098205
IND581110AAE,30,1.7694999489053123,1.740977634247911
IND560099AAB,342,1.7503541168746357,1.7379698546760751
IND560058AAB,52,1.6549718785576897,1.7291253845656074
IND515134AAA,34,1.6568273413655181,1.7239134565898888
IND332001AAB,32,1.7369630737823598,1.7179333309944507
IND390022AAA,55,1.5012889263167668,1.7031555887384071
IND524003AAA,34,1.6944495128685702,1.6903298101506754
IND608301AAA,30,1.6339687579493731,1.6879968163215038
IND518002AAA,115,1.6301671020816464,1.6765834423058017
IND000000ACT,144,1.7011934459474876,1.67516441380678
IND586211AAA,44,1.7731658497932294,1.663055450797299
IND110044AAB,140,1.5829181706500683,1.6624625926821595
IND474003AAA,72,1.622660477978172,1.629515138686582
IND244901AAB,41,1.9097846073758051,1.6267124894864557
IND151001AAA,51,1.4470678635349623,1.5995533969573132
IND683511AAA,92,1.6064679825901715,1.5128923450972034
IND691001AAB,34,1.3492912510363297,1.4331052773631914
IND303303AAA,41,1.1609378765541303,1.344406565292215
IND627005AAA,38,1.2551561899282857,1.329413109970862
