destination_center,shipments,avg_actual_factor,avg_pred_factor,impact_score
IND000000ACB,2512,1.8938711580420966,1.8730313193943755,4705.0546743186715
IND562132AAA,1993,1.7655799499360167,1.7315751654447173,3451.0293047313216
IND421302AAG,1241,2.226163547139552,2.343424598842871,2908.1899271640027
IND712311AAA,1092,2.442545908063469,2.4412651508405974,2665.8615447179322
IND501359AAE,1126,1.9346127685585117,1.9671971649940159,2215.064007783262
IND411033AAA,709,2.0764023606373057,2.0591239269410395,1459.918864201197
IND462022AAA,650,2.1307326488475664,2.212692523960861,1438.2501405745597
IND131028AAB,659,1.869113634872377,1.9018958634390226,1253.3493740063159
IND110037AAM,493,2.0257267748671866,2.085853440939029,1028.3257463829414
IND160002AAC,505,2.004789722682732,1.9786361845123301,999.2112731787267
IND209304AAA,407,2.493881551311019,2.40639739940384,979.4037415573629
IND382430AAB,453,1.9971766853893953,2.0856820677565544,944.8139766937192
IND302014AAA,403,1.9943366216877272,2.0184229807704486,813.4244612504908
IND751002AAB,421,1.8789261161534445,1.928147114265728,811.7499351058715
IND842001AAA,255,3.0396685898141844,2.9831197760531762,760.69554289356
IND600056AAB,328,1.893221914351468,1.9283184574665648,632.4884540490333
IND560099AAB,279,1.8799023195539295,1.937136638231774,540.461122066665
IND834002AAB,226,2.338129130080853,2.386120167094038,539.2631577632526
IND395023AAA,203,2.0802698235953287,1.913829571830616,388.50740308161505
IND560300AAA,222,1.6979347240995761,1.7431063348414546,386.9696063348029
