corridor,shipments,avg_actual_factor,avg_pred_factor,impact_score,Priority,Recommended_Action
IND000000ACB -> IND562132AAA,1070,1.7442112245506225,1.688480597571649,1806.6742394016644,Critical,Immediate operational review and routing optimization
IND000000ACB -> IND712311AAA,597,2.4352453391840228,2.1606093190394584,1289.8837634665567,Critical,Immediate operational review and routing optimization
IND000000ACB -> IND501359AAE,443,1.9256859646551383,1.8283487220091563,809.9584838500563,Critical,Immediate operational review and routing optimization
IND562132AAA -> IND000000ACB,460,1.785745187908244,1.6987868101314605,781.4419326604717,Critical,Immediate operational review and routing optimization
IND000000ACB -> IND421302AAG,391,1.8971656412907585,1.9915019332514607,778.6772559013214,High,Capacity balancing and monitoring
IND421302AAG -> IND131028AAB,318,1.8534582425516544,1.923781805932842,611.7626142866437,High,Capacity balancing and monitoring
IND501359AAE -> IND462022AAA,214,2.0397593099906706,2.240027027087311,479.3657837966846,High,Capacity balancing and monitoring
IND395023AAA -> IND110037AAM,258,1.79408784790074,1.8431949428218863,475.5442952480468,High,Capacity balancing and monitoring
IND421302AAG -> IND712311AAA,220,1.9454516627524323,2.1589735167158035,474.9741736774768,Medium,Periodic performance review
IND562132AAA -> IND462022AAA,208,2.3289366900034905,2.198276179141689,457.2414452614713,Medium,Periodic performance review
IND421302AAG -> IND000000ACB,245,1.928064834104836,1.8128407978120704,444.1459954639573,Medium,Periodic performance review
IND110037AAM -> IND421302AAG,204,2.271709031199244,2.1381599530566087,436.1846304235482,Medium,Periodic performance review
IND562132AAA -> IND751002AAB,219,1.9547854088087475,1.9238072776813375,421.31379381221296,Medium,Periodic performance review
IND462022AAA -> IND000000ACB,234,1.7330296507689322,1.71124141718726,400.4304916218189,Medium,Periodic performance review
IND562132AAA -> IND302014AAA,208,1.8377412652206648,1.923674027503778,400.1241977207858,Medium,Periodic performance review
IND854326AAB -> IND000000ACB,200,2.009639446602656,1.9956040173996727,399.1208034799346,Medium,Periodic performance review
IND411033AAA -> IND421302AAG,141,2.25459246641742,2.3934619475913137,337.4781346103752,Medium,Periodic performance review
IND395023AAA -> IND562132AAA,188,1.7657288621036047,1.740570282490474,327.22721310820907,Medium,Periodic performance review
IND000000ACB -> IND382430AAB,166,1.9749916837501809,1.9168156900133893,318.19140454222264,Medium,Periodic performance review
IND000000ACB -> IND842001AAA,160,1.892882526589268,1.937339564301176,309.9743302881881,Medium,Periodic performance review
