corridor,shipments,avg_actual_factor,avg_pred_factor
IND847226AAA -> IND842001AAA,20,9.98474485606577,9.44478739454917
IND834002AAB -> IND827013AAA,30,4.116408090300945,4.270981656326622
IND110064AAA -> IND000000ACB,54,3.9850459680504033,4.174373485520227
IND713205AAB -> IND712311AAA,27,3.766993939311606,4.127812677243226
IND400102AAC -> IND421302AAG,23,3.5606489083873374,4.085294355663366
IND811399AAA -> IND110044AAB,21,5.111362205700994,3.924800617036217
IND742148AAA -> IND742225AAA,24,3.9079059829059832,3.9005191605300022
IND585314AAA -> IND585104AAA,22,2.7598405817698537,3.803689755773853
IND635601AAB -> IND635802AAB,20,2.651289953179659,3.726512999855874
IND152026AAA -> IND000000ACA,21,3.6088731060517447,3.6514258620527924
IND400072AAB -> IND421302AAG,47,2.763659083891611,3.584079762992261
IND742401AAA -> IND742101AAC,20,2.4745028611703885,3.494605012025641
IND585307AAB -> IND585104AAA,35,3.423772695407887,3.4448942222459342
IND852111AAA -> IND854326AAB,20,4.139838141504034,3.3514107624338747
IND756032AAA -> IND712311AAA,21,2.5370013116158847,3.266745564327112
IND431112AAB -> IND431136AAC,24,3.7680968557598313,3.2001686715113618
IND400072AAD -> IND421302AAG,59,2.8686038846882402,3.190487834629479
IND742149AAA -> IND742148AAA,25,2.8009263065436976,3.1034643647626137
IND421302AAG -> IND400102AAC,54,3.052707760952156,3.081105890436147
IND441912AAA -> IND441107AAB,20,3.114121611891802,3.041700383299223
IND400072AAB -> IND400015AAA,38,3.8676873178421163,2.99381440537609
IND400072AAB -> IND401104AAA,44,2.898069332628156,2.9893963774006735
IND781018AAB -> IND712311AAA,50,2.7898880713973258,2.975159998763229
IND271210AAA -> IND271001AAA,21,3.8808978544522925,2.966480664123799
IND500050AAA -> IND501359AAE,23,2.3000387940661198,2.9636058088797355
IND421302AAG -> IND000000AFT,21,3.480228257773303,2.943979564114474
IND742101AAC -> IND712311AAA,24,3.6071522900030932,2.9417267361223125
IND421302AAG -> IND400072AAB,51,2.892624493955763,2.862500575103864
IND400011AAA -> IND400072AAD,23,3.0157604577412087,2.8500306014514756
IND641062AAD -> IND643231AAA,24,2.9217113865953928,2.8346612135612532
IND852139AAB -> IND854326AAB,20,3.2693030944375407,2.8313884972650185
IND421302AAG -> IND401104AAA,30,3.276151196976431,2.8043541287015983
IND832109AAB -> IND834002AAB,21,2.678577023800818,2.786437703553299
IND400072AAB -> IND000000AFT,26,2.949813417576576,2.729517674018962
IND421302AAG -> IND400015AAB,37,2.5344958861385183,2.7103052473847535
IND421302AAG -> IND400072AAJ,21,2.807246351411111,2.708133777750785
IND421302AAG -> IND400072AAA,21,2.3139212403351013,2.6799046970093974
IND786181AAC -> IND786001AAB,23,3.160182714117108,2.6709168442273987
IND203390AAA -> IND201301AAF,20,3.750504111822233,2.6632957260218557
IND500010AAB -> IND501359AAE,41,2.56949138851843,2.6567310738226944
IND421302AAG -> IND400015AAA,35,2.6688855857950657,2.607848282613148
IND110037AAK -> IND000000ACB,24,2.502698447282753,2.605278595056945
IND313001AAB -> IND327001AAB,21,3.0350774068259248,2.598135983802256
IND121004AAB -> IND110037AAM,27,2.609127277565281,2.576846615274593
IND845455AAB -> IND842001AAA,35,2.6973753480332774,2.569649906700933
IND712311AAA -> IND742101AAC,32,2.839449904400801,2.568781561942676
IND757037AAA -> IND756100AAC,29,2.4705214596836305,2.554929021595814
IND712311AAA -> IND781018AAB,24,2.7289092880068924,2.5222937539864945
IND781018AAB -> IND110037AAM,67,2.2903904129047574,2.5125920650501326
IND751002AAB -> IND712311AAA,101,1.9434603323991164,2.5014860422268317
IND756100AAC -> IND758034AAA,32,2.9971016468168536,2.4600935023132307
IND411033AAA -> IND411014AAA,22,2.4418554214893757,2.449115883930376
IND472001AAA -> IND485001AAC,48,2.972877520975459,2.4438316436689558
IND431517AAB -> IND411033AAA,39,2.6933265177592616,2.4340358398044417
IND413401AAA -> IND411033AAA,50,2.229327600494954,2.427129067247969
IND691551AAA -> IND691001AAB,28,3.9170569837773277,2.4134511050956795
IND209304AAA -> IND209801AAA,20,2.2942022373906648,2.393482503096591
IND411033AAA -> IND421302AAG,141,2.25459246641742,2.3934619475913137
IND635802AAB -> IND635601AAB,20,2.419039220761536,2.3824689590160335
IND712311AAA -> IND821115AAB,23,1.569867469564097,2.3777572318029736
IND395023AAA -> IND411033AAA,56,3.033134419771922,2.3723023758699804
IND342902A1B -> IND302014AAA,20,2.5094764016015687,2.364973458259315
IND342902AAA -> IND302014AAA,30,2.5013534394694394,2.350336758448789
IND834002AAB -> IND826004AAA,56,2.376385038176526,2.342719073387228
IND421302AAG -> IND444005AAB,84,2.4244553772406277,2.3358914241266824
IND501359AAE -> IND500010AAB,42,2.239419344943537,2.3153789300324283
IND712310AAE -> IND711303AAA,30,2.2067899344367414,2.309713646713134
IND600056AAB -> IND600032AAB,40,2.8066655742737616,2.29233600160963
IND424006AAA -> IND421302AAG,24,2.171159345814164,2.2906633310947018
IND431136AAC -> IND431122AAA,25,2.169659898231593,2.2892565205859907
IND516101AAA -> IND516115AAA,24,2.342508125932039,2.2822180141023103
IND313324AAA -> IND313001AAB,20,1.8320669885472516,2.2796093780459583
IND160002AAC -> IND174001AAA,20,2.5083573933983154,2.26881691412175
IND313001AAB -> IND382430AAB,31,2.4411776966403798,2.2558165715091834
IND402301AAA -> IND402107AAA,33,2.09379729094659,2.2437401489553928
IND788026AAC -> IND781018AAB,24,2.078530312590979,2.2436557958375474
IND501359AAE -> IND462022AAA,214,2.0397593099906706,2.240027027087311
IND580028AAA -> IND403726AAA,21,2.335748950161767,2.236822840780455
IND600008AAA -> IND600044AAC,25,1.7716673509014707,2.236675735472656
IND110037AAM -> IND781018AAB,68,2.8486361800162325,2.2349811350878817
IND177033AAA -> IND160002AAC,24,2.6284497866591234,2.2324544617461464
IND411033AAA -> IND403726AAA,51,2.2138631575987255,2.2316855244109832
IND532001AAB -> IND530012AAA,77,2.6369948564281747,2.212774618747489
IND431136AAC -> IND411033AAA,20,2.025732712455543,2.2062316378418214
IND560300AAA -> IND560099AAB,81,2.3505851790686556,2.20339229184508
IND283203AAA -> IND110037AAM,20,2.212043652777023,2.2005964054710643
IND562132AAA -> IND462022AAA,208,2.3289366900034905,2.198276179141689
IND421302AAG -> IND834002AAB,60,2.1379946017608225,2.1887506389423685
IND403702AAA -> IND575004AAB,36,1.9748824797310764,2.187297497684052
IND516115AAA -> IND517501AAB,48,2.6391787059097593,2.1860235370831993
IND110037AAM -> IND121004AAB,36,2.243335292060929,2.163767431624891
IND600032AAB -> IND600076AAB,20,2.01445632798574,2.1634387760554556
IND000000ACB -> IND201301AAM,103,1.8824677583620664,2.1632968804859836
IND000000ACB -> IND712311AAA,597,2.4352453391840228,2.1606093190394584
IND322241AAA -> IND322201AAA,20,2.364155274428612,2.1600926376894614
IND421302AAG -> IND712311AAA,220,1.9454516627524323,2.1589735167158035
IND712311AAA -> IND421302AAG,75,2.128972759462086,2.1580450770253075
IND506167AAB -> IND501359AAE,20,2.5872940481955373,2.1570310562919603
IND751002AAB -> IND760003AAB,32,1.75485815322903,2.1537705454910476
IND751002AAB -> IND562132AAA,110,2.3261295261246495,2.1452779619536284
IND517583AAA -> IND516101AAA,42,2.0794245501662614,2.1452239972821836
IND110037AAM -> IND421302AAG,204,2.2717090311992436,2.1381599530566087
IND362720AAA -> IND362560AAA,22,2.166049037749665,2.1376080009038687
IND000000ACB -> IND110095AAB,50,2.0242134304622628,2.122788399489611
