corridor,shipments,avg_actual_factor,avg_pred_factor,impact_score
IND000000ACB -> IND562132AAA,1070,1.7442112245506223,1.688480597571649,1806.6742394016644
IND000000ACB -> IND712311AAA,597,2.4352453391840228,2.1606093190394584,1289.8837634665567
IND000000ACB -> IND501359AAE,443,1.9256859646551385,1.8283487220091563,809.9584838500563
IND562132AAA -> IND000000ACB,460,1.785745187908244,1.6987868101314603,781.4419326604717
IND000000ACB -> IND421302AAG,391,1.8971656412907583,1.9915019332514612,778.6772559013214
IND421302AAG -> IND131028AAB,318,1.8534582425516544,1.923781805932842,611.7626142866437
IND501359AAE -> IND462022AAA,214,2.0397593099906706,2.240027027087311,479.3657837966846
IND395023AAA -> IND110037AAM,258,1.79408784790074,1.8431949428218866,475.54429524804675
IND421302AAG -> IND712311AAA,220,1.9454516627524323,2.1589735167158035,474.97417367747676
IND562132AAA -> IND462022AAA,208,2.3289366900034905,2.198276179141689,457.2414452614713
IND421302AAG -> IND000000ACB,245,1.9280648341048359,1.8128407978120706,444.1459954639573
IND110037AAM -> IND421302AAG,204,2.2717090311992436,2.1381599530566087,436.1846304235482
IND562132AAA -> IND751002AAB,219,1.9547854088087475,1.9238072776813377,421.31379381221296
IND462022AAA -> IND000000ACB,234,1.7330296507689322,1.71124141718726,400.4304916218189
IND562132AAA -> IND302014AAA,208,1.8377412652206646,1.923674027503778,400.12419772078584
IND854326AAB -> IND000000ACB,200,2.0096394466026557,1.9956040173996732,399.12080347993464
IND411033AAA -> IND421302AAG,141,2.25459246641742,2.3934619475913137,337.4781346103752
IND395023AAA -> IND562132AAA,188,1.7657288621036047,1.7405702824904739,327.22721310820907
IND000000ACB -> IND382430AAB,166,1.9749916837501806,1.9168156900133895,318.19140454222264
IND000000ACB -> IND842001AAA,160,1.8928825265892677,1.9373395643011757,309.9743302881881
