source_center,shipments,avg_actual_factor,avg_pred_factor,impact_score
IND000000ACB,4836,1.92505622789169,1.885241088290065,9117.025902970754
IND562132AAA,2005,1.817903404351861,1.8266130409141788,3662.3591470329284
IND421302AAG,1643,2.1202493464055774,2.1207469847974614,3484.387296022229
IND411033AAA,678,1.9209382656304728,2.0127046025868536,1364.6137205538867
IND501359AAE,678,1.95401234857461,2.009997417189958,1362.7782488547914
IND712311AAA,477,2.195399146415406,2.2835526213344157,1089.2546003765162
IND395023AAA,545,1.911993094319649,1.8681784195505027,1018.157238655024
IND110037AAM,469,2.2530178877001332,2.1184284314759942,993.5429343622413
IND160002AAC,422,1.8996147273744164,1.8869563287020301,796.2955707122567
IND751002AAB,296,2.0085206930257646,2.199490957119807,651.0493233074628
IND131028AAB,358,1.822267560468148,1.7660280898602214,632.2380561699592
IND462022AAA,319,1.8976191954841868,1.874184311512009,597.8647953723308
IND560099AAB,342,1.7503541168746357,1.7379698546760751,594.3856902992177
IND382430AAB,315,1.9693858010829448,1.8506935482579487,582.9684677012539
IND600056AAB,304,2.002394627182865,1.8764070153251589,570.4277326588483
IND400072AAB,176,2.9812230176053536,3.07371633400241,540.9740747844241
IND560300AAA,258,1.8979617640453024,1.8964055913231619,489.2726425613758
IND854326AAB,225,2.04498767371777,2.026072756959953,455.86637031598946
IND781018AAB,170,2.3346150155961927,2.6078321326608456,443.33146255234374
IND209304AAA,213,2.079019909571599,1.9565455134757523,416.74419437033526
